"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",0,"Medium",2,1071,709
"HP",1,"Large",1,890,746
"MSI",3,"Large",2,1132,783
"Apple",6,"Medium",6,817,228
"HP",3,"Medium",2,1122,635
"MSI",2,"Large",1,1184,840
"MSI",2,"Medium",1,1370,865
"MSI",3,"Medium",5,944,309
"HP",1,"Medium",1,1208,822
"HP",1,"Medium",3,936,461
"HP",2,"Medium",1,716,598
"MSI",1,"Medium",3,640,408
"HP",1,"Small",0,839,626
"HP",1,"Medium",2,1443,725
"MSI",4,"Large",2,1177,731
"HP",3,"Large",2,901,639
"HP",3,"Medium",2,756,501
"MSI",2,"Large",2,1181,777
"Apple",0,"Large",3,1110,672
"HP",0,"Large",0,1034,852
"MSI",3,"Medium",6,883,178
"MSI",2,"Large",2,1000,658
"HP",2,"Small",4,843,261
"MSI",1,"Medium",2,971,689
"HP",1,"Medium",2,990,611
"HP",0,"Medium",2,1057,614
"HP",4,"Large",3,850,495
"MSI",2,"Medium",2,1154,738
"MSI",2,"Small",3,1219,483
"HP",3,"Medium",0,1096,850
"HP",1,"Small",5,1136,234
"MSI",1,"Medium",4,1031,512
"MSI",3,"Large",2,567,559
"HP",2,"Medium",1,1189,756
"HP",3,"Medium",1,773,662
"MSI",0,"Medium",2,1170,610
"MSI",3,"Medium",3,1060,581
"MSI",4,"Medium",3,929,531
"MSI",6,"Medium",3,916,518
"HP",4,"Medium",1,909,606
"HP",3,"Medium",0,796,772
"HP",1,"Medium",2,911,601
"HP",0,"Medium",4,1170,477
"MSI",1,"Medium",3,764,504
"HP",5,"Medium",0,1053,853
"HP",3,"Medium",2,904,552
"HP",2,"Small",1,1088,649
"HP",2,"Large",2,1093,723
"HP",0,"Medium",4,1175,436
"MSI",4,"Large",2,1137,772
"MSI",5,"Large",2,1315,826
"Apple",3,"Large",3,713,608
"HP",2,"Medium",2,537,433
"Apple",4,"Large",2,783,731
"MSI",4,"Large",0,934,856
"MSI",3,"Large",0,1067,946
"HP",0,"Large",2,846,610
"HP",2,"Medium",1,884,647
"Apple",1,"Large",3,1637,840
"HP",5,"Large",1,796,737
"HP",5,"Medium",0,461,658
"Apple",2,"Medium",4,1126,570
"HP",3,"Medium",2,807,536
"MSI",3,"Large",1,1025,818
"MSI",2,"Medium",1,1107,822
"HP",2,"Medium",2,1112,629
"MSI",4,"Medium",4,1082,421
"MSI",1,"Medium",2,1183,696
"MSI",3,"Medium",3,1102,612
"HP",4,"Large",4,763,387
"HP",0,"Large",3,843,531
"MSI",3,"Large",1,1260,912
"HP",2,"Medium",0,1355,875
"HP",2,"Medium",1,1146,804
"HP",4,"Medium",2,1023,561
"HP",2,"Large",0,781,746
"HP",2,"Medium",3,1354,542
"MSI",6,"Large",4,1678,678
"HP",2,"Medium",2,662,527
"MSI",3,"Medium",0,945,828
"HP",3,"Medium",0,1279,906
"HP",2,"Medium",0,1046,806
"MSI",0,"Small",1,974,661
"HP",3,"Medium",2,899,554
"HP",3,"Large",2,1093,683
"HP",2,"Medium",4,851,338
"MSI",5,"Large",6,999,344
"MSI",1,"Medium",1,1075,773
"MSI",2,"Medium",3,1256,620
"HP",1,"Large",2,1060,659
"MSI",4,"Medium",0,1331,996
"HP",2,"Small",1,985,622
"Apple",2,"Medium",2,1401,820
"MSI",1,"Medium",4,1165,487
"HP",1,"Small",2,980,515
"MSI",4,"Large",1,1084,779
"Apple",2,"Medium",0,1102,937
"MSI",0,"Large",0,1137,903
"HP",0,"Medium",3,1121,545
"HP",2,"Small",0,915,752
"MSI",5,"Medium",2,1102,671
"HP",0,"Medium",4,1239,436
"HP",3,"Medium",1,982,693
"HP",3,"Large",3,998,581
"MSI",2,"Small",3,795,366
"HP",2,"Large",2,978,643
"HP",4,"Small",3,1132,476
"MSI",1,"Medium",0,1151,846
"HP",1,"Medium",3,1125,564
"HP",3,"Small",2,1134,541
"HP",2,"Medium",4,1154,440
"MSI",1,"Medium",2,1037,677
"HP",3,"Medium",1,942,717
"MSI",2,"Large",1,1023,812
"HP",0,"Small",4,1056,318
"HP",1,"Medium",0,962,766
"Apple",2,"Medium",2,1559,861
"Apple",2,"Large",3,1148,662
"MSI",3,"Medium",2,1116,701
"Apple",1,"Medium",3,720,498
"HP",2,"Medium",0,928,742
"HP",3,"Small",3,1124,432
"HP",2,"Large",1,970,780
"MSI",0,"Medium",0,1068,883
"MSI",3,"Medium",2,1168,644
"Apple",1,"Small",3,490,381
"MSI",1,"Medium",1,1074,731
"HP",2,"Large",3,1084,583
"MSI",6,"Large",0,855,855
"MSI",1,"Small",5,1011,250
"HP",3,"Large",0,933,830
"MSI",2,"Medium",4,914,474
"MSI",1,"Medium",5,560,222
"MSI",1,"Large",5,1161,432
"MSI",2,"Small",2,800,536
"MSI",2,"Large",1,1011,770
"Apple",2,"Large",2,875,747
"HP",3,"Medium",2,1292,657
"HP",3,"Large",2,977,594
"HP",3,"Large",2,958,629
"MSI",0,"Medium",1,1061,722
"HP",0,"Medium",3,861,405
"HP",1,"Large",1,1145,826
"HP",0,"Small",2,976,473
"HP",0,"Medium",2,1285,681
"HP",3,"Medium",1,779,591
"HP",1,"Small",2,736,471
"HP",1,"Medium",3,1230,566
"MSI",2,"Large",1,980,822
"HP",1,"Medium",2,1208,726
"HP",0,"Medium",2,702,481
"HP",1,"Large",1,778,711
"MSI",1,"Medium",3,967,544
"HP",1,"Large",2,601,575
"MSI",2,"Medium",0,1228,876
"HP",2,"Medium",0,1100,820
"HP",1,"Large",3,1204,620
"MSI",1,"Large",0,873,899
"HP",5,"Medium",1,1170,741
"HP",0,"Medium",3,1191,584
"HP",1,"Medium",3,1115,549
"Apple",3,"Medium",4,1043,515
"HP",2,"Large",1,1117,746
"HP",2,"Medium",2,1059,656
"Apple",0,"Large",2,1154,763
"HP",1,"Medium",1,870,687
"MSI",0,"Large",2,1058,751
"HP",3,"Medium",1,748,645
"MSI",0,"Small",1,978,582
"MSI",0,"Medium",3,1296,618
"HP",4,"Medium",1,1131,758
"HP",3,"Medium",3,934,466
"MSI",4,"Large",3,756,550
"HP",1,"Medium",2,948,626
"HP",2,"Medium",2,1253,682
"MSI",1,"Small",3,1143,503
"MSI",0,"Medium",2,1283,694
"HP",1,"Small",4,1019,349
"Apple",4,"Small",2,1157,642
"HP",2,"Medium",2,1380,747
"MSI",2,"Small",3,1299,509
"HP",2,"Large",3,969,554
"MSI",4,"Medium",2,986,646
"Apple",2,"Small",6,826,105
"MSI",1,"Small",3,1033,440
"HP",1,"Medium",5,826,242
"MSI",1,"Large",1,1111,810
"MSI",1,"Medium",0,662,762
"MSI",0,"Medium",3,1089,575
"HP",2,"Large",3,1033,575
"Apple",0,"Medium",2,1180,745
"MSI",2,"Large",0,1061,910
"HP",2,"Medium",0,763,756
"MSI",2,"Medium",2,834,606
"HP",1,"Large",1,902,756
"HP",0,"Medium",2,1187,669
"HP",2,"Medium",0,977,792
"HP",2,"Medium",2,1259,600
"Apple",1,"Large",3,827,585
"HP",2,"Small",0,1380,819
"MSI",2,"Large",2,1161,746
"HP",2,"Medium",3,1264,587
"HP",1,"Medium",3,1126,592
"HP",2,"Large",2,742,586
"HP",2,"Small",0,922,684
"Apple",2,"Small",2,900,532
"HP",3,"Medium",6,785,175
"HP",5,"Large",2,1115,671
"HP",0,"Large",2,1077,639
"HP",1,"Large",4,801,366
"HP",3,"Large",3,1223,618
"HP",2,"Medium",2,566,452
"Apple",0,"Small",0,682,707
"MSI",2,"Medium",2,884,612
"Apple",3,"Large",1,1350,945
"HP",3,"Large",2,859,633
"HP",3,"Medium",1,1086,731
"HP",2,"Medium",1,805,607
"HP",1,"Medium",4,1085,431
"HP",0,"Medium",4,860,409
"HP",2,"Medium",1,1040,680
"MSI",2,"Medium",1,1232,847
"HP",2,"Large",0,1054,832
"HP",2,"Large",0,802,786
"HP",3,"Medium",1,911,724
"MSI",2,"Small",0,986,739
"MSI",3,"Medium",7,991,137
"MSI",1,"Medium",2,864,598
"HP",3,"Large",1,1146,776
"HP",5,"Large",2,999,689
"HP",2,"Medium",3,839,465
"MSI",2,"Small",2,1088,567
"HP",1,"Large",3,736,521
"MSI",0,"Medium",1,987,763
"HP",4,"Large",1,1118,792
"HP",2,"Medium",1,979,693
"HP",1,"Small",5,630,69
"MSI",3,"Medium",1,1218,832
"HP",2,"Small",1,960,617
"HP",0,"Large",5,1566,473
"HP",3,"Large",1,1165,752
"HP",3,"Medium",3,910,498
"MSI",1,"Large",2,1088,720
"MSI",3,"Medium",3,1098,517
"MSI",2,"Large",1,627,713
"MSI",2,"Medium",2,1050,676
"MSI",2,"Large",2,968,675
"MSI",1,"Medium",3,1280,616
"HP",2,"Medium",2,696,535
"HP",5,"Medium",0,1069,774
"HP",3,"Medium",4,811,345
"MSI",3,"Medium",1,1017,760
"MSI",0,"Small",2,944,576
"Apple",3,"Medium",1,801,747
"HP",4,"Large",0,713,863
"HP",3,"Small",1,972,577
"MSI",1,"Medium",6,792,178
"Apple",2,"Medium",0,1079,886
"MSI",4,"Medium",3,808,487
"MSI",0,"Large",1,596,665
"MSI",3,"Medium",4,754,399
"Apple",1,"Medium",4,803,515
"HP",1,"Large",2,996,622
"MSI",1,"Medium",2,1085,723
"HP",2,"Large",0,986,879
"MSI",1,"Medium",0,967,832
"MSI",2,"Large",5,1258,491
"MSI",1,"Large",1,1053,810
"HP",1,"Large",3,833,442
"MSI",3,"Small",0,1128,804
"MSI",2,"Medium",0,843,860
"HP",0,"Medium",1,701,627
"HP",0,"Medium",1,1090,722
"HP",4,"Large",3,1014,603
"HP",1,"Large",1,813,680
"HP",1,"Medium",2,601,471
"HP",3,"Small",1,890,508
"MSI",3,"Medium",1,957,704
"HP",1,"Medium",3,827,458
"HP",1,"Medium",6,902,201
"MSI",1,"Medium",0,782,812
"Apple",0,"Medium",2,1065,723
"HP",1,"Medium",1,1207,778
"HP",1,"Large",2,1061,673
"MSI",1,"Medium",2,1182,674
"Apple",0,"Medium",3,912,539
"HP",1,"Medium",5,1210,342
"MSI",1,"Large",2,683,640
"HP",1,"Large",2,795,597
"HP",3,"Medium",3,831,393
"HP",3,"Medium",0,727,724
"HP",1,"Large",3,930,524
"MSI",1,"Medium",2,939,558
"HP",0,"Medium",1,1082,695
"MSI",3,"Medium",2,981,629
"HP",3,"Large",1,938,756
"MSI",0,"Medium",2,967,626
"MSI",4,"Small",0,926,707
"HP",1,"Medium",2,999,605
"HP",1,"Small",1,1296,737
"HP",4,"Medium",3,1132,516
"HP",1,"Large",2,613,532
"HP",2,"Medium",2,1153,633
"HP",2,"Small",0,1170,754
"MSI",3,"Large",4,1092,535
"Apple",2,"Medium",0,1245,932
"MSI",5,"Medium",2,909,676
"HP",2,"Small",1,1287,710
"HP",2,"Large",2,766,576
"HP",1,"Small",1,1022,560
"HP",3,"Large",1,1046,721
"MSI",2,"Large",1,947,783
"MSI",1,"Medium",1,1094,812
"HP",2,"Large",3,977,518
"HP",2,"Medium",1,1118,778
"HP",2,"Large",4,779,397
"HP",2,"Large",2,1095,719
"Apple",3,"Medium",3,655,530
"MSI",6,"Large",5,768,380
"MSI",5,"Medium",1,1221,830
"MSI",3,"Small",1,989,582
"MSI",2,"Medium",1,711,705
"HP",2,"Large",1,1084,834
"MSI",0,"Large",2,1203,727
"HP",2,"Large",1,973,746
"MSI",2,"Large",6,1212,348
"HP",4,"Medium",4,635,318
"HP",4,"Medium",4,1356,509
"MSI",6,"Large",2,842,721
"HP",1,"Medium",3,1185,541
"HP",2,"Large",0,1234,939
"MSI",0,"Medium",2,748,647
"HP",3,"Medium",3,1037,474
"HP",1,"Large",2,1261,693
"MSI",1,"Large",1,903,779
"MSI",2,"Small",2,1094,547
"HP",5,"Large",1,956,751
"Apple",1,"Medium",1,1010,819
"HP",3,"Medium",0,1280,860
"MSI",2,"Medium",1,1237,770
"MSI",1,"Large",1,966,822
"MSI",2,"Large",0,967,903
"MSI",2,"Large",2,1232,738
"HP",2,"Small",1,1179,662
"Apple",3,"Small",1,909,700
"MSI",0,"Small",2,1116,554
"Apple",4,"Small",2,846,586
"MSI",0,"Medium",4,853,408
"HP",3,"Large",0,1177,890
"Apple",0,"Medium",1,1072,825
"MSI",2,"Large",2,1483,819
"HP",2,"Medium",0,1413,872
"MSI",0,"Medium",3,1274,644
"Apple",2,"Medium",1,1124,857
"MSI",2,"Medium",4,809,392
"HP",2,"Medium",2,835,526
"HP",0,"Medium",6,1112,249
"HP",2,"Large",1,867,697
"MSI",3,"Small",0,1017,785
"HP",2,"Medium",1,1083,783
"HP",6,"Large",2,1084,670
"HP",0,"Medium",2,565,458
"MSI",1,"Medium",3,1087,572
"MSI",3,"Medium",2,881,609
"MSI",1,"Large",1,652,676
"MSI",3,"Medium",2,986,642
"MSI",1,"Medium",1,1457,865
"MSI",1,"Small",4,958,379
"HP",1,"Medium",2,900,611
"MSI",1,"Medium",4,686,382
"MSI",4,"Medium",1,812,711
"MSI",0,"Large",2,1291,778
"Apple",4,"Large",3,761,632
"HP",1,"Large",3,962,581
"HP",0,"Medium",0,737,719
"MSI",0,"Medium",1,770,679
"HP",0,"Large",2,936,657
"HP",3,"Small",2,1041,522
"HP",1,"Small",4,869,245
"MSI",0,"Medium",0,809,792
"MSI",1,"Medium",2,998,634
"Apple",1,"Small",0,848,740
"HP",2,"Medium",4,1011,410
"HP",4,"Large",1,877,743
"MSI",0,"Medium",2,1208,745
"MSI",2,"Medium",2,1094,640
"HP",0,"Medium",1,874,668
"MSI",0,"Large",3,1202,670
"MSI",1,"Medium",4,861,397
"HP",4,"Medium",0,1089,831
"MSI",5,"Medium",1,1077,782
"MSI",4,"Large",0,871,845
"MSI",1,"Medium",6,1059,221
"HP",1,"Medium",2,1032,637
"HP",0,"Medium",1,760,659
"HP",1,"Large",1,1127,829
"Apple",4,"Large",2,767,669
"HP",3,"Large",2,660,518
"HP",0,"Large",2,659,581
"MSI",1,"Large",6,1213,328
"MSI",0,"Large",4,736,398
"Apple",2,"Medium",3,1288,646
"Apple",2,"Large",2,937,730
"HP",2,"Small",2,839,455
"HP",3,"Medium",4,1034,387
"MSI",2,"Large",0,1130,912
"MSI",4,"Medium",4,850,461
"HP",2,"Small",1,1035,630
"HP",3,"Medium",0,1160,868
"HP",0,"Small",1,885,532
"HP",0,"Medium",1,599,583
"MSI",2,"Large",2,644,579
"HP",1,"Large",3,870,491
"Apple",1,"Large",2,822,674
"MSI",0,"Medium",4,795,384
"MSI",1,"Medium",2,1046,707
"HP",2,"Large",2,854,591
"HP",3,"Large",2,1124,678
"HP",1,"Large",3,602,398
"HP",3,"Large",3,1171,539
"MSI",1,"Large",1,993,882
"MSI",4,"Large",1,1085,766
"MSI",5,"Medium",1,1121,763
"HP",4,"Medium",1,1088,709
"HP",3,"Medium",5,1158,370
"Apple",4,"Large",3,606,559
"MSI",2,"Medium",3,670,451
"MSI",4,"Small",1,872,578
"Apple",2,"Medium",1,1439,894
"HP",2,"Medium",3,1110,521
"HP",2,"Large",2,1046,654
"HP",3,"Small",2,1350,559
"MSI",3,"Small",3,970,371
"HP",1,"Large",4,959,408
"HP",1,"Large",2,992,695
"MSI",0,"Large",4,525,361
"HP",1,"Small",3,1032,358
"HP",1,"Large",1,1130,810
"HP",0,"Medium",0,1013,877
"HP",0,"Large",3,1022,546
"HP",4,"Medium",2,1381,690
"HP",1,"Large",1,1152,827
"MSI",2,"Medium",1,1211,848
"MSI",3,"Large",1,1143,842
"MSI",2,"Medium",1,1194,855
"MSI",2,"Medium",4,942,378
"MSI",1,"Medium",2,1000,702
"MSI",2,"Medium",1,977,767
"MSI",3,"Large",1,1316,934
"MSI",3,"Small",2,1080,542
